id,text,label
180,قبض برق خریدم 3870,housing
181,3840 خرج تفریح شد,entertainment
182,دکتر 2510 تومن شد,health
183,2500 تومن قبض آب گرفتم,housing
184,شهربازی خریدم 3440,entertainment
185,میوه خریدم 4320,shopping
186,2750 تومن کرایه رفت و برگشت گرفتم,transport
187,2900 تومن تفریح گرفتم,entertainment
188,کباب خریدم 710,food
189,تاکسی خریدم 1350,transport
190,2340 تومن برای شارژ ساختمان دادم,housing
191,قبض آب خریدم 1440,housing
192,2420 تومن اجاره گرفتم,housing
193,280 تومن برای کیف دادم,shopping
194,370 تومن بنزین گرفتم,transport
195,1040 تومن شام گرفتم,food
196,دکتر 1240 تومن شد,health
197,600 خرج اشتراک فیلم شد,entertainment
198,3600 تومن برای مترو دادم,transport
199,3120 خرج شارژ ساختمان شد,housing
200,لوازم تحریر 600 تومن شد,shopping
201,2980 تومن اجاره گرفتم,housing
202,قبض گاز خریدم 3480,housing
203,1030 تومن اشتراک فیلم گرفتم,entertainment
204,درمان 4270 تومن شد,health
205,4370 خرج برگر شد,food
206,1790 خرج پیتزا شد,food
207,1910 تومن اشتراک فیلم گرفتم,entertainment
208,1760 تومن درمان گرفتم,health
209,بازی خریدم 560,entertainment
210,اینترنت خونه خریدم 4580,housing
211,میوه 2240 تومن شد,shopping
212,4960 تومن برای کیف دادم,shopping
213,دندانپزشک خریدم 3980,health
214,4240 خرج بازی شد,entertainment
215,قبض برق 4380 تومن شد,housing
216,برگر خریدم 4530,food
217,2930 خرج مترو شد,transport
218,1740 تومن کفش گرفتم,shopping
219,شهربازی خریدم 950,entertainment
220,4100 تومن برای اتوبوس دادم,transport
221,4520 خرج قبض برق شد,housing
222,2860 تومن لباس گرفتم,shopping
223,دکتر 450 تومن شد,health
224,2520 خرج کفش شد,shopping
225,بنزین خریدم 2450,transport
226,490 تومن برای سینما دادم,entertainment
227,مترو 3560 تومن شد,transport
228,2990 تومن برای اینترنت خونه دادم,housing
229,2730 تومن برای تفریح دادم,entertainment
230,2830 تومن برای اشتراک فیلم دادم,entertainment
231,2340 تومن برای اینترنت خونه دادم,housing
232,1200 تومن قبض برق گرفتم,housing
233,1630 تومن میوه گرفتم,shopping
234,کیف 4880 تومن شد,shopping
235,اسنپ خریدم 3800,transport
236,3030 خرج اینترنت خونه شد,housing
237,ویزیت 530 تومن شد,health
238,شارژ ساختمان 1860 تومن شد,housing
239,3640 خرج اجاره شد,housing
240,250 تومن اتوبوس گرفتم,transport
241,ویزیت 3590 تومن شد,health
242,540 تومن کفش گرفتم,shopping
243,ویزیت خریدم 2420,health
244,960 تومن شهربازی گرفتم,entertainment
245,600 تومن قبض آب گرفتم,housing
246,390 خرج بازی شد,entertainment
247,لوازم تحریر 290 تومن شد,shopping
248,4870 تومن برای کرایه رفت و برگشت دادم,transport
249,620 خرج شام شد,food
250,3070 خرج تفریح شد,entertainment
251,کرایه رفت و برگشت خریدم 1960,transport
252,4420 خرج شهربازی شد,entertainment
253,2930 خرج شهربازی شد,entertainment
254,ساندویچ 4870 تومن شد,food
255,1370 تومن میوه گرفتم,shopping
256,900 خرج اسنپ شد,transport
257,ناهار خریدم 30,food
258,اشتراک فیلم خریدم 3060,entertainment
259,1200 تومن برای اجاره دادم,housing
260,لباس خریدم 3610,shopping
261,4750 تومن برای شام دادم,food
262,کیف 3400 تومن شد,shopping
263,سینما 2800 تومن شد,entertainment
264,4670 تومن برای میوه دادم,shopping
265,تاکسی 320 تومن شد,transport
266,3850 خرج قبض گاز شد,housing
267,قبض آب خریدم 650,housing
268,لباس خریدم 3600,shopping
269,قبض گاز خریدم 2780,housing
270,3080 تومن سینما گرفتم,entertainment
271,1670 خرج اشتراک فیلم شد,entertainment
272,اجاره 480 تومن شد,housing
273,3020 تومن کیف گرفتم,shopping
274,2970 تومن لباس گرفتم,shopping
275,مترو خریدم 2670,transport
276,شارژ ساختمان خریدم 3010,housing
277,4980 تومن کفش گرفتم,shopping
278,2110 تومن برای شهربازی دادم,entertainment
279,اینترنت خونه 550 تومن شد,housing
280,قبض آب خریدم 3570,housing
281,اینترنت خونه خریدم 4850,housing
282,2340 تومن دارو گرفتم,health
283,1670 تومن قبض برق گرفتم,housing
284,4240 تومن تفریح گرفتم,entertainment
285,کیف خریدم 2380,shopping
286,2670 تومن برای شام دادم,food
287,آزمایش خریدم 3220,health
288,1380 خرج شام شد,food
289,اتوبوس خریدم 2260,transport
290,3240 خرج پیتزا شد,food
291,830 تومن برای بنزین دادم,transport
292,دارو خریدم 2840,health
293,4320 تومن شام گرفتم,food
294,سینما 3330 تومن شد,entertainment
295,1510 خرج اشتراک فیلم شد,entertainment
296,لباس خریدم 2140,shopping
297,2350 خرج کنسرت شد,entertainment
298,990 خرج مترو شد,transport
299,درمان 4520 تومن شد,health
300,برگر خریدم 3970,food
301,1380 تومن قبض گاز گرفتم,housing
302,1540 خرج اینترنت خونه شد,housing
303,درمان 2520 تومن شد,health
304,2490 تومن برای تفریح دادم,entertainment
305,3920 خرج قبض گاز شد,housing
306,4790 تومن برای بازی دادم,entertainment
307,1240 خرج بنزین شد,transport
308,کنسرت خریدم 4400,entertainment
309,فلافل خریدم 3830,food
310,کفش 1990 تومن شد,shopping
311,660 خرج سینما شد,entertainment
312,4470 تومن ویزیت گرفتم,health
313,سینما خریدم 2710,entertainment
314,ناهار 2110 تومن شد,food
315,4020 تومن برای قهوه دادم,food
316,قبض گاز خریدم 3560,housing
317,4380 تومن برای خرید سوپر دادم,shopping
318,1960 تومن برای کیف دادم,shopping
319,لوازم تحریر خریدم 4560,shopping
320,3180 تومن دارو گرفتم,health
321,3520 تومن برای بنزین دادم,transport
322,بنزین خریدم 480,transport
323,ساندویچ 2290 تومن شد,food
324,4640 تومن لباس گرفتم,shopping
325,4090 تومن فلافل گرفتم,food
326,قبض برق خریدم 1930,housing
327,اسنپ خریدم 2730,transport
328,درمان 4070 تومن شد,health
329,420 خرج اسنپ شد,transport
330,تفریح 3510 تومن شد,entertainment
331,تفریح 750 تومن شد,entertainment
332,اشتراک فیلم خریدم 1320,entertainment
333,اینترنت خونه خریدم 60,housing
334,اینترنت خونه 2810 تومن شد,housing
335,4850 تومن برای قهوه دادم,food
336,ویزیت خریدم 3290,health
337,2350 تومن برای لباس دادم,shopping
338,مترو خریدم 4380,transport
339,1970 خرج شام شد,food
340,1530 تومن برای قبض گاز دادم,housing
341,1420 تومن کباب گرفتم,food
342,4000 تومن درمان گرفتم,health
343,2560 تومن برای درمان دادم,health
344,4120 تومن برای کرایه رفت و برگشت دادم,transport
345,990 خرج بنزین شد,transport
346,اینترنت خونه 3880 تومن شد,housing
347,4640 تومن خرید سوپر گرفتم,shopping
348,190 خرج قبض آب شد,housing
349,690 تومن اینترنت خونه گرفتم,housing
350,قبض برق خریدم 3840,housing
351,690 خرج اسنپ شد,transport
352,2580 تومن برای قبض گاز دادم,housing
353,اتوبوس خریدم 4690,transport
354,4470 تومن برای اینترنت خونه دادم,housing
355,4950 تومن قهوه گرفتم,food
356,اسنپ خریدم 4420,transport
357,ویزیت خریدم 480,health
358,2760 تومن برگر گرفتم,food
359,3460 تومن برای شهربازی دادم,entertainment
360,4230 تومن برای آزمایش دادم,health
361,2430 تومن شام گرفتم,food
362,1690 خرج دندانپزشک شد,health
363,بنزین خریدم 340,transport
364,لباس خریدم 3340,shopping
365,250 تومن ناهار گرفتم,food
366,610 تومن قبض آب گرفتم,housing
367,کرایه رفت و برگشت خریدم 710,transport
368,3450 خرج شهربازی شد,entertainment
369,تفریح 3820 تومن شد,entertainment
370,اشتراک فیلم خریدم 520,entertainment
371,4820 تومن برای آزمایش دادم,health
372,فلافل خریدم 1130,food
373,4390 تومن برای کنسرت دادم,entertainment
374,2800 تومن برای فلافل دادم,food
375,کباب 1430 تومن شد,food
376,قهوه 480 تومن شد,food
377,3070 تومن لوازم تحریر گرفتم,shopping
378,فلافل 1260 تومن شد,food
379,370 خرج دکتر شد,health
380,کرایه رفت و برگشت 1120 تومن شد,transport
381,4050 خرج شارژ ساختمان شد,housing
382,برگر 4410 تومن شد,food
383,کرایه رفت و برگشت 1300 تومن شد,transport
384,690 تومن پیتزا گرفتم,food
385,3030 تومن برای شارژ ساختمان دادم,housing
386,1370 تومن ناهار گرفتم,food
387,2170 خرج بنزین شد,transport
388,ساندویچ خریدم 2450,food
389,3050 تومن قبض گاز گرفتم,housing
390,1150 خرج تفریح شد,entertainment
391,صبحونه خریدم 1560,food
392,خرید سوپر خریدم 330,shopping
393,3530 تومن بازی گرفتم,entertainment
394,اشتراک فیلم خریدم 4670,entertainment
395,1660 خرج ساندویچ شد,food
396,660 تومن برای تاکسی دادم,transport
397,3010 خرج درمان شد,health
398,1970 خرج لباس شد,shopping
399,2340 خرج ویزیت شد,health
400,520 تومن آزمایش گرفتم,health
401,4510 خرج لوازم تحریر شد,shopping
402,میوه خریدم 2220,shopping
403,مترو خریدم 1750,transport
404,3750 تومن بازی گرفتم,entertainment
405,1620 تومن برای قبض آب دادم,housing
406,شارژ ساختمان خریدم 3530,housing
407,4270 تومن ساندویچ گرفتم,food
408,510 تومن برای کباب دادم,food
409,320 خرج کرایه رفت و برگشت شد,transport
410,1700 تومن دندانپزشک گرفتم,health
411,شهربازی خریدم 4490,entertainment
412,4970 تومن برای خرید سوپر دادم,shopping
413,1820 تومن ویزیت گرفتم,health
414,دندانپزشک 1100 تومن شد,health
415,1160 تومن کفش گرفتم,shopping
416,1900 تومن قبض گاز گرفتم,housing
417,قبض گاز خریدم 1170,housing
418,3160 خرج دندانپزشک شد,health
419,برگر 160 تومن شد,food
420,3920 تومن برای اینترنت خونه دادم,housing
421,قبض برق 50 تومن شد,housing
422,کرایه رفت و برگشت خریدم 3380,transport
423,3810 تومن ناهار گرفتم,food
424,صبحونه خریدم 1120,food
425,بازی 1760 تومن شد,entertainment
426,3710 تومن برای قبض برق دادم,housing
427,450 تومن دندانپزشک گرفتم,health
428,3880 خرج اسنپ شد,transport
429,ساندویچ خریدم 1410,food
430,2500 خرج کفش شد,shopping
431,بازی 1410 تومن شد,entertainment
432,دارو خریدم 1780,health
433,3490 خرج برگر شد,food
434,3430 تومن برای تفریح دادم,entertainment
435,2040 خرج شام شد,food
436,1060 تومن برای پیتزا دادم,food
437,3930 تومن برای اسنپ دادم,transport
438,630 تومن قبض برق گرفتم,housing
439,اشتراک فیلم 2220 تومن شد,entertainment
440,مترو 2740 تومن شد,transport
441,4280 تومن برای دندانپزشک دادم,health
442,4430 تومن کباب گرفتم,food
443,2370 تومن سینما گرفتم,entertainment
444,2210 خرج قبض گاز شد,housing
445,اشتراک فیلم خریدم 3290,entertainment
446,2090 تومن اجاره گرفتم,housing
447,4120 خرج شارژ ساختمان شد,housing
448,4720 تومن برای اشتراک فیلم دادم,entertainment
449,4340 تومن کباب گرفتم,food
450,مترو خریدم 3030,transport
451,2040 تومن برای دارو دادم,health
452,1150 تومن برای لباس دادم,shopping
453,2630 تومن تاکسی گرفتم,transport
454,1010 تومن برای دندانپزشک دادم,health
455,اینترنت خونه 4920 تومن شد,housing
456,760 تومن برای تاکسی دادم,transport
457,اسنپ 3100 تومن شد,transport
458,خرید سوپر خریدم 920,shopping
459,3910 خرج تفریح شد,entertainment
460,4750 خرج اشتراک فیلم شد,entertainment
461,3210 تومن برای لوازم تحریر دادم,shopping
462,لباس خریدم 790,shopping
463,2280 تومن برای قهوه دادم,food
464,300 تومن برای قبض گاز دادم,housing
465,دارو خریدم 1600,health
466,310 تومن برای سینما دادم,entertainment
467,3320 تومن اجاره گرفتم,housing
468,دندانپزشک خریدم 2610,health
469,2850 تومن تفریح گرفتم,entertainment
470,تفریح 3350 تومن شد,entertainment
471,2450 خرج قبض گاز شد,housing
472,2320 تومن تاکسی گرفتم,transport
473,450 خرج اینترنت خونه شد,housing
474,میوه 220 تومن شد,shopping
475,2260 خرج کفش شد,shopping
476,830 تومن برای دندانپزشک دادم,health
477,قبض برق خریدم 2000,housing
478,3080 تومن اینترنت خونه گرفتم,housing
479,1730 تومن لوازم تحریر گرفتم,shopping
480,اجاره خریدم 2870,housing
481,3720 خرج قبض برق شد,housing
482,430 خرج اتوبوس شد,transport
483,4710 تومن برای میوه دادم,shopping
484,اینترنت خونه خریدم 3590,housing
485,3640 تومن کرایه رفت و برگشت گرفتم,transport
486,1940 تومن برای قبض گاز دادم,housing
487,3610 خرج بنزین شد,transport
488,2620 تومن برای کباب دادم,food
489,فلافل 1600 تومن شد,food
490,اتوبوس خریدم 4870,transport
491,اسنپ 720 تومن شد,transport
492,4340 تومن برگر گرفتم,food
493,4290 خرج دندانپزشک شد,health
494,4500 خرج فلافل شد,food
495,کرایه رفت و برگشت 1940 تومن شد,transport
496,4270 خرج اسنپ شد,transport
497,2260 تومن بنزین گرفتم,transport
498,شهربازی 3480 تومن شد,entertainment
499,تفریح خریدم 1470,entertainment
500,1240 تومن برای کرایه رفت و برگشت دادم,transport
501,1900 خرج کنسرت شد,entertainment
502,3950 تومن برای بازی دادم,entertainment
503,تفریح خریدم 2720,entertainment
504,4120 خرج اسنپ شد,transport
505,اتوبوس خریدم 280,transport
506,4800 تومن قبض گاز گرفتم,housing
507,4370 تومن کیف گرفتم,shopping
508,اجاره 3920 تومن شد,housing
509,4650 خرج قبض آب شد,housing
510,مترو 480 تومن شد,transport
511,4780 تومن شهربازی گرفتم,entertainment
512,2040 خرج سینما شد,entertainment
513,1990 تومن شارژ ساختمان گرفتم,housing
514,160 تومن برای شارژ ساختمان دادم,housing
515,فلافل 4070 تومن شد,food
516,تاکسی خریدم 1480,transport
517,میوه خریدم 3900,shopping
518,40 تومن تفریح گرفتم,entertainment
519,برگر 1120 تومن شد,food
520,3130 خرج درمان شد,health
521,3990 تومن برای سینما دادم,entertainment
522,640 تومن اتوبوس گرفتم,transport
523,3290 خرج مترو شد,transport
524,سینما خریدم 580,entertainment
525,100 خرج دندانپزشک شد,health
526,دکتر 3690 تومن شد,health
527,20 خرج قبض آب شد,housing
528,شارژ ساختمان خریدم 2940,housing
529,3440 تومن بنزین گرفتم,transport
530,360 خرج ویزیت شد,health
531,4040 خرج دندانپزشک شد,health
532,دارو خریدم 2010,health
533,1930 تومن برای کباب دادم,food
534,1840 تومن خرید سوپر گرفتم,shopping
535,3770 تومن شارژ ساختمان گرفتم,housing
536,3890 تومن برای درمان دادم,health
537,1820 خرج تاکسی شد,transport
538,اینترنت خونه خریدم 910,housing
539,کفش 3250 تومن شد,shopping
540,تاکسی خریدم 3680,transport
541,1050 تومن برگر گرفتم,food
542,1630 تومن برای تاکسی دادم,transport
543,4190 خرج آزمایش شد,health
544,شهربازی 200 تومن شد,entertainment
545,4430 تومن قبض برق گرفتم,housing
546,1410 تومن لباس گرفتم,shopping
547,قبض آب خریدم 4570,housing
548,کفش خریدم 4600,shopping
549,شارژ ساختمان خریدم 2560,housing
550,1380 تومن قبض گاز گرفتم,housing
551,کفش خریدم 420,shopping
552,2810 تومن برای دکتر دادم,health
553,420 تومن برای اجاره دادم,housing
554,لباس خریدم 1580,shopping
555,درمان 2200 تومن شد,health
556,کفش خریدم 1810,shopping
557,فلافل خریدم 3160,food
558,4070 تومن اینترنت خونه گرفتم,housing
559,1880 خرج کباب شد,food
560,830 تومن لوازم تحریر گرفتم,shopping
561,کرایه رفت و برگشت خریدم 3490,transport
562,ناهار 360 تومن شد,food
563,لباس خریدم 1870,shopping
564,دارو 3110 تومن شد,health
565,4870 تومن برای کفش دادم,shopping
566,3920 تومن قبض آب گرفتم,housing
567,2730 تومن برای دکتر دادم,health
568,3340 تومن برای شهربازی دادم,entertainment
569,تاکسی 150 تومن شد,transport
570,2000 خرج تفریح شد,entertainment
571,3980 تومن برای برگر دادم,food
572,1110 خرج کفش شد,shopping
573,اینترنت خونه خریدم 4710,housing
574,710 تومن تاکسی گرفتم,transport
575,کنسرت خریدم 4620,entertainment
576,3430 تومن برای فلافل دادم,food
577,2830 خرج خرید سوپر شد,shopping
578,قبض برق 4370 تومن شد,housing
579,لوازم تحریر 4760 تومن شد,shopping
580,1160 تومن قبض گاز گرفتم,housing
581,اسنپ خریدم 1230,transport
582,2850 خرج فلافل شد,food
583,4130 خرج قبض آب شد,housing
584,4540 تومن کرایه رفت و برگشت گرفتم,transport
585,برگر خریدم 2050,food
586,آزمایش خریدم 3950,health
587,660 تومن برای دارو دادم,health
588,خرید سوپر خریدم 2320,shopping
589,کیف 1780 تومن شد,shopping
590,درمان 3020 تومن شد,health
591,2590 تومن مترو گرفتم,transport
592,800 تومن برای صبحونه دادم,food
593,اسنپ 1670 تومن شد,transport
594,4600 تومن برای قبض گاز دادم,housing
595,1020 خرج برگر شد,food
596,3220 تومن برای شارژ ساختمان دادم,housing
597,490 خرج دندانپزشک شد,health
598,3050 خرج میوه شد,shopping
599,3390 خرج اسنپ شد,transport
600,1740 خرج کیف شد,shopping
601,430 تومن پیتزا گرفتم,food
602,کیف 1370 تومن شد,shopping
603,3180 تومن آزمایش گرفتم,health
604,2810 تومن برای اشتراک فیلم دادم,entertainment
605,لباس 2490 تومن شد,shopping
606,کفش خریدم 1540,shopping
607,پیتزا خریدم 820,food
608,بازی 2390 تومن شد,entertainment
609,750 تومن برای قبض گاز دادم,housing
610,3770 تومن برای لباس دادم,shopping
611,3910 تومن برای کنسرت دادم,entertainment
612,560 تومن برای دندانپزشک دادم,health
613,640 تومن برای مترو دادم,transport
614,740 تومن کنسرت گرفتم,entertainment
615,برگر خریدم 4860,food
616,آزمایش 1290 تومن شد,health
617,3710 تومن برای قبض گاز دادم,housing
618,2570 خرج اسنپ شد,transport
619,4520 تومن برای بازی دادم,entertainment
620,سینما خریدم 480,entertainment
621,آزمایش 4960 تومن شد,health
622,1820 تومن کرایه رفت و برگشت گرفتم,transport
623,2550 خرج برگر شد,food
624,2420 تومن برای لوازم تحریر دادم,shopping
625,4350 تومن دارو گرفتم,health
626,4530 تومن برای کنسرت دادم,entertainment
627,لباس خریدم 3930,shopping
628,2070 تومن اجاره گرفتم,housing
629,1010 تومن برای دندانپزشک دادم,health
630,ویزیت خریدم 390,health
631,3930 خرج آزمایش شد,health
632,3500 خرج قبض گاز شد,housing
633,ناهار خریدم 510,food
634,2870 تومن برای قبض برق دادم,housing
635,3100 خرج اسنپ شد,transport
636,220 تومن تفریح گرفتم,entertainment
637,3670 تومن برای ناهار دادم,food
638,تفریح 2350 تومن شد,entertainment
639,730 تومن برای دندانپزشک دادم,health
640,ویزیت خریدم 850,health
641,4330 تومن برای درمان دادم,health
642,2610 خرج ویزیت شد,health
643,3640 خرج آزمایش شد,health
644,4190 تومن قبض آب گرفتم,housing
645,3460 تومن قبض برق گرفتم,housing
646,1590 تومن تفریح گرفتم,entertainment
647,1370 خرج آزمایش شد,health
648,3710 تومن دکتر گرفتم,health
649,890 خرج آزمایش شد,health
650,لوازم تحریر خریدم 3190,shopping
651,1260 تومن بنزین گرفتم,transport
652,درمان 580 تومن شد,health
653,قهوه خریدم 1620,food
654,مترو 3550 تومن شد,transport
655,3980 خرج تفریح شد,entertainment
656,3740 تومن اشتراک فیلم گرفتم,entertainment
657,میوه 2670 تومن شد,shopping
658,ویزیت خریدم 3410,health
659,آزمایش 1620 تومن شد,health
660,1770 خرج تفریح شد,entertainment
661,3970 تومن برای اینترنت خونه دادم,housing
662,آزمایش 1000 تومن شد,health
663,قبض گاز 1540 تومن شد,housing
664,قبض برق 3620 تومن شد,housing
665,2520 تومن برای لوازم تحریر دادم,shopping
666,2880 تومن برای شهربازی دادم,entertainment
667,2950 خرج اجاره شد,housing
668,4210 تومن برای بازی دادم,entertainment
669,230 تومن برای اتوبوس دادم,transport
670,خرید سوپر خریدم 1790,shopping
671,لباس خریدم 3840,shopping
672,4250 خرج اسنپ شد,transport
673,3580 تومن برای قبض گاز دادم,housing
674,3170 خرج تاکسی شد,transport
675,270 خرج اسنپ شد,transport
676,1210 تومن بنزین گرفتم,transport
677,کباب خریدم 1710,food
678,40 خرج ناهار شد,food
679,مترو خریدم 3360,transport
680,1040 تومن برای اشتراک فیلم دادم,entertainment
681,3320 تومن قبض برق گرفتم,housing
682,2750 تومن شام گرفتم,food
683,مترو 4530 تومن شد,transport
684,کباب خریدم 4050,food
685,4940 تومن برای بنزین دادم,transport
686,1540 خرج پیتزا شد,food
687,4770 تومن برای دارو دادم,health
688,3300 خرج قبض آب شد,housing
689,آزمایش 4570 تومن شد,health
690,آزمایش 1410 تومن شد,health
691,فلافل خریدم 850,food
692,لباس 3690 تومن شد,shopping
693,4060 تومن برای فلافل دادم,food
694,درمان 3890 تومن شد,health
