id,text,label
223,3821 کرایه اسنپ شد,transport
224,1345 تومن پیتزا گرفتم,food
225,1577 کرایه رفت و برگشت شد,transport
226,برای 1081 شام تومن دادم,food
227,1475 تومن هزینه دندانپزشک شد,health
228,1804 برای تاکسی پرداخت کردم,transport
229,2489 تومن شهربازی رفتم,entertainment
230,برای 4596 ساندویچ تومن دادم,food
231,4956 هزینه هزینه متفرقه شد,other
232,143 تومن پیتزا خوردم,food
233,1242 هزینه هزینه شخصی شد,other
234,84 تومن بیف برگر خوردم,food
235,4433 تومن خرید لباس کردم,shopping
236,خرید 621 دارو تومن,health
237,2351 خرج بازی شد,entertainment
238,1152 اجاره خونه پرداخت کردم,housing
239,1226 تومن شام گرفتم,food
240,4965 تومن قبض اجاره دادم,housing
241,4079 تومن اتوبوس گرفتم,transport
242,برای 3972 ناهار تومن دادم,food
243,3891 تومن شهربازی رفتم,entertainment
244,سهم 257 اجاره شد,housing
245,533 تومن پیتزا گرفتم,food
246,110 تومن لباس خریدم,shopping
247,4992 تومن کافی شاپ رفتم,entertainment
248,برای 723 بیف برگر تومن دادم,food
249,2472 تومن لوازم تحریر خریدم,shopping
250,برای 3963 شهربازی دادم,entertainment
251,1912 کرایه مترو شد,transport
252,417 برای سوپرمارکت دادم,shopping
253,2358 تومن قبض برق دادم,housing
254,برای 2465 شهربازی دادم,entertainment
255,2575 تومن دکتر رفتم,health
256,3478 تومن شام خوردم,food
257,2661 تومن هزینه دندانپزشک شد,health
258,2527 تومن اسنپ گرفتم,transport
259,1123 کرایه اسنپ شد,transport
260,برای 4202 کنسرت دادم,entertainment
261,140 برای هزینه متفرقه پرداخت شد,other
262,خرید 4173 ویزیت تومن,health
263,2591 برای مترو پرداخت کردم,transport
264,520 تومن قبض برق دادم,housing
265,1262 تومن هزینه آزمایش شد,health
266,برای 531 شهربازی دادم,entertainment
267,4714 برای رفت و برگشت پرداخت کردم,transport
268,3963 تومن کیف خریدم,shopping
269,1882 تومن کباب خوردم,food
270,2761 تومن سوپرمارکت خریدم,shopping
271,1697 تومن خرید میوه کردم,shopping
272,3396 برای رفت و برگشت پرداخت کردم,transport
273,3041 برای کار اداری پرداخت شد,other
274,412 تومن مترو گرفتم,transport
275,سهم 3571 اجاره شد,housing
276,1555 تومن اسنپ گرفتم,transport
277,برای 2739 صبحونه تومن دادم,food
278,برای 2439 بازی دادم,entertainment
279,2089 هزینه هزینه متفرقه شد,other
280,برای 3916 بازی دادم,entertainment
281,برای 2942 کافی شاپ دادم,entertainment
282,خرید 1350 دندانپزشک تومن,health
283,1380 برای اتوبوس پرداخت کردم,transport
284,1941 تومن خرید سوپرمارکت کردم,shopping
285,249 تومن خرید کیف کردم,shopping
286,1662 خرج بازی شد,entertainment
287,4108 تومن قبض شارژ ساختمان دادم,housing
288,1778 برای لباس دادم,shopping
289,3928 تومن خرید لباس کردم,shopping
290,859 اجاره خونه پرداخت کردم,housing
291,1067 هزینه کار اداری شد,other
292,4768 تومن رفت و برگشت گرفتم,transport
293,2363 کرایه اتوبوس شد,transport
294,1103 تومن هزینه دارو شد,health
295,2299 برای رفت و برگشت پرداخت کردم,transport
296,3278 تومن خرید لباس کردم,shopping
297,4449 تومن خرج هزینه شخصی کردم,other
298,948 اجاره خونه پرداخت کردم,housing
299,برای 2967 کباب تومن دادم,food
300,4575 برای کیف دادم,shopping
301,1650 تومن خرج هزینه شخصی کردم,other
302,50 کرایه اسنپ شد,transport
303,704 تومن قبض شارژ ساختمان دادم,housing
304,خرید 1256 آزمایش تومن,health
305,1059 تومن خرج هزینه متفرقه کردم,other
306,719 تومن خرج هزینه متفرقه کردم,other
307,489 برای لوازم تحریر دادم,shopping
308,1486 کرایه اتوبوس شد,transport
309,1110 برای اسنپ پرداخت کردم,transport
310,1329 تومن بازی رفتم,entertainment
311,2087 خرج کافی شاپ شد,entertainment
312,برای 1919 کافی شاپ دادم,entertainment
313,2292 تومن دکتر رفتم,health
314,1883 برای لباس دادم,shopping
315,3425 برای لوازم تحریر دادم,shopping
316,1472 هزینه هزینه شخصی شد,other
317,4303 برای لوازم تحریر دادم,shopping
318,2582 تومن پیتزا گرفتم,food
319,2840 تومن خرید لباس کردم,shopping
320,1567 اجاره خونه پرداخت کردم,housing
321,3420 تومن دکتر رفتم,health
322,418 تومن قبض برق دادم,housing
323,4395 تومن دکتر رفتم,health
324,برای 1537 بیف برگر تومن دادم,food
325,264 تومن خرید لباس کردم,shopping
326,برای 454 ناهار تومن دادم,food
327,897 خرج شهربازی شد,entertainment
328,1148 برای هزینه متفرقه پرداخت شد,other
329,111 تومن هزینه ویزیت شد,health
330,برای 2661 ساندویچ تومن دادم,food
331,1754 تومن اتوبوس گرفتم,transport
332,2900 برای سوپرمارکت دادم,shopping
333,خرید 2625 ویزیت تومن,health
334,2965 تومن خرج کار اداری کردم,other
335,1548 تومن قبض برق دادم,housing
336,3144 اجاره خونه پرداخت کردم,housing
337,2624 برای هزینه شخصی پرداخت شد,other
338,برای 4083 پیتزا تومن دادم,food
339,2245 تومن قبض اجاره دادم,housing
340,خرید 2147 دارو تومن,health
341,3878 تومن ناهار خوردم,food
342,3639 تومن بیف برگر خوردم,food
343,4821 تومن خرید لوازم تحریر کردم,shopping
344,2321 تومن خرج هزینه متفرقه کردم,other
345,595 برای هزینه شخصی پرداخت شد,other
346,4024 برای هزینه متفرقه پرداخت شد,other
347,2723 تومن پیتزا گرفتم,food
348,2219 تومن کیف خریدم,shopping
349,1442 برای سوپرمارکت دادم,shopping
350,372 تومن خرید لباس کردم,shopping
351,3939 برای اسنپ پرداخت کردم,transport
352,661 برای سوپرمارکت دادم,shopping
353,4134 تومن قبض برق دادم,housing
354,955 برای اتوبوس پرداخت کردم,transport
355,سهم 1372 برق شد,housing
356,1435 تومن هزینه دندانپزشک شد,health
357,1616 اجاره خونه پرداخت کردم,housing
358,4717 تومن کباب خوردم,food
359,2324 تومن هزینه دارو شد,health
360,برای 4951 شهربازی دادم,entertainment
361,294 تومن کباب خوردم,food
362,2163 تومن قبض برق دادم,housing
363,319 کرایه اتوبوس شد,transport
364,برای 2713 بازی دادم,entertainment
365,4529 تومن ناهار خوردم,food
366,3705 تومن لباس خریدم,shopping
367,961 کرایه اتوبوس شد,transport
368,1012 خرج کافی شاپ شد,entertainment
369,4631 برای رفت و برگشت پرداخت کردم,transport
370,1933 خرج کافی شاپ شد,entertainment
371,503 برای لوازم تحریر دادم,shopping
372,4482 هزینه کار اداری شد,other
373,1252 تومن قبض اجاره دادم,housing
374,4073 تومن سینما رفتم,entertainment
375,1134 کرایه اسنپ شد,transport
376,2243 اجاره خونه پرداخت کردم,housing
377,4216 تومن مترو گرفتم,transport
378,سهم 2017 اجاره شد,housing
379,2929 تومن خرید سوپرمارکت کردم,shopping
380,661 تومن خرید سوپرمارکت کردم,shopping
381,321 تومن دکتر رفتم,health
382,3619 برای کار اداری پرداخت شد,other
383,747 کرایه اسنپ شد,transport
384,1044 تومن دکتر رفتم,health
385,1799 هزینه هزینه شخصی شد,other
386,4080 تومن لباس خریدم,shopping
387,2557 تومن شام گرفتم,food
388,4210 برای تاکسی پرداخت کردم,transport
389,605 خرج کافی شاپ شد,entertainment
390,2041 تومن خرید کیف کردم,shopping
391,سهم 1978 شارژ ساختمان شد,housing
392,2559 تومن شهربازی رفتم,entertainment
393,3075 کرایه تاکسی شد,transport
394,2839 تومن مترو گرفتم,transport
395,4497 تومن پیتزا خوردم,food
396,2561 تومن تاکسی گرفتم,transport
397,3243 خرج کافی شاپ شد,entertainment
398,169 برای کیف دادم,shopping
399,4183 برای لباس دادم,shopping
400,3244 برای هزینه شخصی پرداخت شد,other
401,1605 تومن هزینه آزمایش شد,health
402,644 تومن اسنپ گرفتم,transport
403,2478 تومن قبض آب دادم,housing
404,886 تومن لوازم تحریر خریدم,shopping
405,4015 برای میوه دادم,shopping
406,سهم 3729 برق شد,housing
407,4636 هزینه هزینه شخصی شد,other
408,994 خرج کنسرت شد,entertainment
409,برای 754 کافی شاپ دادم,entertainment
410,برای 1798 بازی دادم,entertainment
411,3985 تومن لوازم تحریر خریدم,shopping
412,437 کرایه اسنپ شد,transport
413,4662 تومن ساندویچ گرفتم,food
414,3598 تومن بیف برگر گرفتم,food
415,برای 322 ناهار تومن دادم,food
416,2754 اجاره خونه پرداخت کردم,housing
417,4160 تومن قبض شارژ ساختمان دادم,housing
418,خرید 2232 ویزیت تومن,health
419,3994 هزینه هزینه متفرقه شد,other
420,1993 کرایه رفت و برگشت شد,transport
421,4337 تومن کباب گرفتم,food
422,1347 تومن کیف خریدم,shopping
423,2069 برای لباس دادم,shopping
424,3697 خرج کنسرت شد,entertainment
425,3743 هزینه کار اداری شد,other
426,خرید 2913 دارو تومن,health
427,2825 تومن دکتر رفتم,health
428,2604 اجاره خونه پرداخت کردم,housing
429,4275 هزینه هزینه متفرقه شد,other
430,2235 تومن تاکسی گرفتم,transport
431,برای 55 کباب تومن دادم,food
432,1798 تومن صبحونه خوردم,food
433,4311 هزینه کار اداری شد,other
434,1643 تومن پیتزا خوردم,food
435,4716 هزینه هزینه شخصی شد,other
436,4258 تومن میوه خریدم,shopping
437,4619 تومن اسنپ گرفتم,transport
438,3802 تومن هزینه آزمایش شد,health
439,4435 اجاره خونه پرداخت کردم,housing
440,سهم 3351 اجاره شد,housing
441,3404 برای تاکسی پرداخت کردم,transport
442,4542 برای کیف دادم,shopping
443,849 کرایه رفت و برگشت شد,transport
444,1345 تومن هزینه دندانپزشک شد,health
445,برای 4995 ناهار تومن دادم,food
446,برای 4452 کافی شاپ دادم,entertainment
447,3335 تومن دکتر رفتم,health
448,برای 1903 بیف برگر تومن دادم,food
449,برای 2458 سینما دادم,entertainment
450,3529 برای لوازم تحریر دادم,shopping
451,3771 تومن مترو گرفتم,transport
452,966 تومن دکتر رفتم,health
453,1925 برای کیف دادم,shopping
454,3906 تومن دکتر رفتم,health
455,4890 تومن ناهار خوردم,food
456,3830 تومن شام گرفتم,food
457,4473 تومن خرید لباس کردم,shopping
458,4696 تومن میوه خریدم,shopping
459,4133 برای کار اداری پرداخت شد,other
460,خرید 2623 آزمایش تومن,health
461,632 برای هزینه متفرقه پرداخت شد,other
462,2961 تومن رفت و برگشت گرفتم,transport
463,سهم 4316 برق شد,housing
464,1814 کرایه اسنپ شد,transport
465,4605 برای لوازم تحریر دادم,shopping
466,3925 برای مترو پرداخت کردم,transport
467,1171 تومن قبض برق دادم,housing
468,برای 1350 کافی شاپ دادم,entertainment
469,3746 خرج سینما شد,entertainment
470,3564 هزینه کار اداری شد,other
471,برای 3319 کباب تومن دادم,food
472,4994 خرج شهربازی شد,entertainment
473,4757 تومن کنسرت رفتم,entertainment
474,سهم 3810 گاز شد,housing
475,برای 4438 بازی دادم,entertainment
476,3115 تومن کباب گرفتم,food
477,4933 تومن قبض شارژ ساختمان دادم,housing
478,4501 تومن هزینه آزمایش شد,health
479,خرید 1290 ویزیت تومن,health
480,3514 برای تاکسی پرداخت کردم,transport
481,برای 3266 ناهار تومن دادم,food
482,3824 تومن خرید لوازم تحریر کردم,shopping
483,3900 تومن کباب خوردم,food
484,260 تومن سوپرمارکت خریدم,shopping
485,1793 تومن قبض گاز دادم,housing
486,4517 تومن تاکسی گرفتم,transport
487,2759 تومن تاکسی گرفتم,transport
488,برای 182 کافی شاپ دادم,entertainment
489,4993 خرج بازی شد,entertainment
490,برای 1957 بیف برگر تومن دادم,food
491,برای 109 شهربازی دادم,entertainment
492,4447 تومن خرید سوپرمارکت کردم,shopping
493,برای 2131 شهربازی دادم,entertainment
494,4111 کرایه اتوبوس شد,transport
495,4253 تومن رفت و برگشت گرفتم,transport
496,1181 تومن ساندویچ گرفتم,food
497,1712 تومن کباب خوردم,food
498,3657 تومن هزینه دندانپزشک شد,health
499,2517 اجاره خونه پرداخت کردم,housing
500,3012 برای کیف دادم,shopping
501,667 خرج شهربازی شد,entertainment
502,838 برای اتوبوس پرداخت کردم,transport
503,4334 تومن هزینه دندانپزشک شد,health
504,4242 برای لباس دادم,shopping
505,4496 تومن شام گرفتم,food
506,2571 تومن صبحونه گرفتم,food
507,4750 برای لباس دادم,shopping
508,64 تومن قبض شارژ ساختمان دادم,housing
509,3246 برای اتوبوس پرداخت کردم,transport
510,2765 کرایه مترو شد,transport
511,خرید 1852 دندانپزشک تومن,health
512,3705 برای رفت و برگشت پرداخت کردم,transport
513,4063 برای کیف دادم,shopping
514,451 تومن ناهار خوردم,food
515,852 برای هزینه شخصی پرداخت شد,other
516,4696 تومن خرج هزینه متفرقه کردم,other
517,4901 کرایه اسنپ شد,transport
518,543 تومن لباس خریدم,shopping
519,4477 تومن کباب خوردم,food
520,4541 تومن ساندویچ خوردم,food
521,2785 کرایه تاکسی شد,transport
522,برای 88 شهربازی دادم,entertainment
523,خرید 3265 دندانپزشک تومن,health
524,سهم 3058 شارژ ساختمان شد,housing
525,3890 برای هزینه شخصی پرداخت شد,other
526,1696 تومن پیتزا گرفتم,food
527,4766 تومن شام گرفتم,food
528,2052 برای کیف دادم,shopping
529,147 تومن بیف برگر گرفتم,food
530,3105 تومن خرید لوازم تحریر کردم,shopping
531,3014 خرج بازی شد,entertainment
532,209 تومن خرج کار اداری کردم,other
533,687 برای کار اداری پرداخت شد,other
534,3176 تومن لوازم تحریر خریدم,shopping
535,4098 تومن خرج هزینه شخصی کردم,other
536,2836 خرج بازی شد,entertainment
537,3053 خرج کافی شاپ شد,entertainment
538,711 برای اسنپ پرداخت کردم,transport
539,سهم 2920 اجاره شد,housing
540,1476 تومن خرج کار اداری کردم,other
541,1997 تومن بازی رفتم,entertainment
542,55 کرایه اتوبوس شد,transport
543,269 تومن لوازم تحریر خریدم,shopping
544,خرید 4987 دندانپزشک تومن,health
545,857 کرایه مترو شد,transport
546,برای 4694 بازی دادم,entertainment
547,3235 تومن رفت و برگشت گرفتم,transport
548,3405 تومن بازی رفتم,entertainment
549,2462 تومن خرید میوه کردم,shopping
550,777 برای لباس دادم,shopping
551,2873 تومن رفت و برگشت گرفتم,transport
552,3644 تومن دکتر رفتم,health
553,98 تومن خرید سوپرمارکت کردم,shopping
554,1551 تومن خرج هزینه متفرقه کردم,other
555,سهم 1221 اجاره شد,housing
556,1138 تومن خرج هزینه شخصی کردم,other
557,2420 تومن کباب خوردم,food
558,1426 برای رفت و برگشت پرداخت کردم,transport
559,2020 برای تاکسی پرداخت کردم,transport
560,3048 تومن شام خوردم,food
561,4617 تومن کیف خریدم,shopping
562,4498 خرج سینما شد,entertainment
563,2013 اجاره خونه پرداخت کردم,housing
564,2009 خرج سینما شد,entertainment
565,2400 کرایه تاکسی شد,transport
566,1075 تومن اسنپ گرفتم,transport
567,152 تومن خرید کیف کردم,shopping
568,سهم 191 آب شد,housing
569,1640 تومن میوه خریدم,shopping
570,2710 تومن پیتزا خوردم,food
571,4432 خرج بازی شد,entertainment
572,2176 تومن سینما رفتم,entertainment
573,292 تومن خرج کار اداری کردم,other
574,4177 هزینه هزینه متفرقه شد,other
575,2470 خرج بازی شد,entertainment
576,4137 تومن کنسرت رفتم,entertainment
577,خرید 125 آزمایش تومن,health
578,2915 تومن دکتر رفتم,health
579,4229 تومن خرید لباس کردم,shopping
580,1683 تومن هزینه دندانپزشک شد,health
581,2494 تومن بیف برگر گرفتم,food
582,2511 تومن خرید لوازم تحریر کردم,shopping
583,3378 تومن تاکسی گرفتم,transport
584,1753 برای رفت و برگشت پرداخت کردم,transport
585,سهم 2141 شارژ ساختمان شد,housing
586,3906 هزینه هزینه شخصی شد,other
587,1057 تومن خرید میوه کردم,shopping
588,1262 اجاره خونه پرداخت کردم,housing
589,1915 تومن کافی شاپ رفتم,entertainment
590,برای 1274 ناهار تومن دادم,food
591,700 تومن قبض برق دادم,housing
592,3080 کرایه مترو شد,transport
593,3136 تومن میوه خریدم,shopping
594,4233 تومن لوازم تحریر خریدم,shopping
595,1315 تومن کنسرت رفتم,entertainment
596,برای 4254 کباب تومن دادم,food
597,4821 تومن اسنپ گرفتم,transport
598,1217 خرج کافی شاپ شد,entertainment
599,2245 هزینه کار اداری شد,other
600,595 تومن قبض شارژ ساختمان دادم,housing
601,برای 1397 کباب تومن دادم,food
602,4082 تومن خرید میوه کردم,shopping
603,سهم 3592 برق شد,housing
604,2690 اجاره خونه پرداخت کردم,housing
605,3657 تومن هزینه دندانپزشک شد,health
606,4902 تومن هزینه آزمایش شد,health
607,خرید 1665 دارو تومن,health
608,2867 تومن لباس خریدم,shopping
609,791 تومن مترو گرفتم,transport
610,برای 947 شام تومن دادم,food
611,2053 تومن کنسرت رفتم,entertainment
612,خرید 4907 دندانپزشک تومن,health
613,2565 برای هزینه متفرقه پرداخت شد,other
614,3151 تومن ناهار گرفتم,food
615,985 تومن دکتر رفتم,health
616,برای 4797 کنسرت دادم,entertainment
617,برای 2759 شهربازی دادم,entertainment
618,1243 تومن هزینه ویزیت شد,health
619,4328 تومن خرید میوه کردم,shopping
620,1132 تومن قبض اجاره دادم,housing
621,940 تومن هزینه ویزیت شد,health
622,4125 برای اسنپ پرداخت کردم,transport
623,سهم 3542 گاز شد,housing
624,برای 3257 سینما دادم,entertainment
625,234 تومن دکتر رفتم,health
626,4538 تومن خرج کار اداری کردم,other
627,2079 تومن کافی شاپ رفتم,entertainment
628,برای 4528 ناهار تومن دادم,food
629,برای 4023 بازی دادم,entertainment
630,3813 برای کار اداری پرداخت شد,other
631,برای 3784 کنسرت دادم,entertainment
632,818 کرایه مترو شد,transport
633,157 تومن کباب گرفتم,food
634,خرید 3635 دارو تومن,health
635,برای 4419 صبحونه تومن دادم,food
636,480 تومن هزینه ویزیت شد,health
637,1700 اجاره خونه پرداخت کردم,housing
638,4453 تومن اسنپ گرفتم,transport
639,45 تومن بیف برگر گرفتم,food
640,2875 تومن خرج هزینه شخصی کردم,other
641,1985 هزینه هزینه متفرقه شد,other
642,1402 تومن رفت و برگشت گرفتم,transport
643,خرید 4129 دارو تومن,health
644,2216 هزینه هزینه شخصی شد,other
645,برای 2598 پیتزا تومن دادم,food
646,1646 برای کیف دادم,shopping
647,1655 خرج کنسرت شد,entertainment
648,3058 اجاره خونه پرداخت کردم,housing
649,3471 تومن خرید کیف کردم,shopping
650,خرید 4341 آزمایش تومن,health
651,3354 کرایه اتوبوس شد,transport
