text,label
هزینه خدمات خشک‌شویی مبلغ ۵۰ هزار تومن برداشتم.,4
پرداخت اجاره‌بها ماهیانه مبلغ ۵۰ هزار تومن دادم.,3
پرداخت خیریه به مبلغ ۲۰ هزار تومان پرداخت شد.,4
هزینه قبض برق و گاز مبلغ ۲۰ هزار تومان دادم.,3
پول بستنی به مبلغ ۲ میلیون ریال پرداخت کردم.,1
پرداخت اجاره‌بها ماهیانه مبلغ ۱۵۰٬۰۰۰ ریال پیاده شدم.,3
"کرایه تاکسی برای مسیر به مبلغ ۲۵۰,۰۰۰ تومان اختصاص یافت.",6
"خرید هدیه تولد برای دوست مبلغ ۲۵۰,۰۰۰ تومان پیاده شدم.",4
پول کتاب‌های آموزشی به مبلغ ۷۰۰ هزار تومان اختصاص یافت.,5
بلیط سینما برای فیلم جدید خریدم به مبلغ ۵ میلیون تومان پرداخت کردم.,0
هزینه قبض برق و گاز مبلغ ۵ میلیون تومان خرجی کردم.,3
کرایه تاکسی برای مسیر مبلغ ۱۵۰٬۰۰۰ ریال خرجی کردم.,6
پرداخت هزینه تعمیرات منزل به مبلغ ۷۰۰ هزار تومان هزینه شد.,3
پرداخت خیریه مبلغ ۲ میلیون ریال پیاده شدم.,4
پول پیش‌پرداخت وام به مبلغ ۱۰ هزار تومن هزینه شد.,4
هزینه مواد غذایی هفتگی به مبلغ ۲ میلیون ریال پرداخت کردم.,1
هزینه کرایه اسنپ مبلغ ۱۰۰ هزار تومان برداشتم.,6
هزینه ویزیت دکتر متخصص مبلغ ۷۰۰ هزار تومان پیاده شدم.,2
پول داروخانه برای مکمل به مبلغ ۱۰۰ هزار تومان پرداخت شد.,2
پرداخت اجاره‌بها ماهیانه مبلغ ۵۰ هزار تومن برداشتم.,3
بلیط سینما برای فیلم جدید خریدم مبلغ ۲۰ هزار تومان برداشتم.,0
خرید گل برای مراسم مبلغ ۱۰۰ هزار تومان پرید.,4
پول داروخانه برای مکمل به مبلغ ۳۰ هزار تومن پرداخت شد.,2
مبلغ ویزیت دندانپزشکی به مبلغ ۳۰ هزار تومن هزینه شد.,2
هزینه خدمات خشک‌شویی به مبلغ ۱۰۰ هزار تومان اختصاص یافت.,4
پرداخت هزینه تعمیرات خودرو به مبلغ ۲ میلیون ریال هزینه شد.,6
مبلغ شارژ ساختمان به مبلغ ۱۰ هزار تومن هزینه شد.,3
هزینه بازی‌های ویدیویی به مبلغ ۱۰۰ هزار تومان پرداخت کردم.,0
خرید گل برای مراسم به مبلغ ۱۰۰ هزار تومان پرداخت شد.,4
مبلغ شارژ ساختمان به مبلغ ۱۵۰٬۰۰۰ ریال هزینه شد.,3
پول بستنی به مبلغ ۲۰ هزار تومان هزینه شد.,1
خرید گل برای مراسم به مبلغ ۳۰ هزار تومن اختصاص یافت.,4
پول پیش‌پرداخت وام به مبلغ ۱۰ هزار تومن هزینه شد.,4
هزینه بازی‌های ویدیویی به مبلغ ۱۵۰٬۰۰۰ ریال پرداخت کردم.,0
خرید لوازم تحریر به مبلغ ۱۰ هزار تومن پرداخت شد.,5
خرید هدیه تولد برای دوست مبلغ ۵۰ هزار تومن برداشتم.,4
خرید هدیه تولد برای دوست به مبلغ ۷۰۰ هزار تومان هزینه شد.,4
هزینه مواد غذایی هفتگی به مبلغ ۳۰ هزار تومن پرداخت شد.,1
خرید ناهار از رستوران مبلغ ۲۰ هزار تومان خرجی کردم.,1
هزینه کرایه اسنپ به مبلغ ۳۰ هزار تومن هزینه شد.,6
بلیط مترو و اتوبوس به مبلغ ۱۰ هزار تومن پرداخت کردم.,6
پول بنزین ماشین مبلغ ۲ میلیون ریال برداشتم.,6
هزینه خرید لباس جدید به مبلغ ۵۰ هزار تومن پرداخت کردم.,5
پرداخت خیریه به مبلغ ۲۰ هزار تومان پرداخت شد.,4
پول بستنی به مبلغ ۱۰ هزار تومن هزینه شد.,1
پرداخت هزینه آزمایش خون به مبلغ ۷۰۰ هزار تومان پرداخت کردم.,2
پول بنزین ماشین مبلغ ۵۰ هزار تومن برداشتم.,6
خرید کیف چرمی به مبلغ ۷۰۰ هزار تومان پرداخت شد.,5
خرید ناهار از رستوران به مبلغ ۱۰ هزار تومن هزینه شد.,1
خرید داروهای نسخه‌ای به مبلغ ۱۰۰ هزار تومان هزینه شد.,2
مبلغ ویزیت دندانپزشکی به مبلغ ۲ میلیون ریال اختصاص یافت.,2
پرداخت هزینه تعمیرات خودرو مبلغ ۵ میلیون تومان دادم.,6
پول پیش‌پرداخت وام به مبلغ ۳۰ هزار تومن اختصاص یافت.,4
میوه و سبزیجات تازه خریدم مبلغ ۲۰ هزار تومان پیاده شدم.,1
هزینه مواد غذایی هفتگی مبلغ ۳۰ هزار تومن دادم.,1
خرید گل برای مراسم به مبلغ ۵ میلیون تومان هزینه شد.,4
"بلیط سینما برای فیلم جدید خریدم مبلغ ۲۵۰,۰۰۰ تومان پرید.",0
هزینه کرایه اسنپ به مبلغ ۵۰ هزار تومن هزینه شد.,6
بلیط سینما برای فیلم جدید خریدم مبلغ ۱۵۰٬۰۰۰ ریال دادم.,0
پرداخت هزینه تعمیرات خودرو به مبلغ ۵ میلیون تومان هزینه شد.,6
خرید لوازم تحریر به مبلغ ۲۰ هزار تومان اختصاص یافت.,5
"پول پیش‌پرداخت وام مبلغ ۲۵۰,۰۰۰ تومان خرجی کردم.",4
پول بستنی مبلغ ۷۰۰ هزار تومان پیاده شدم.,1
مبلغ شارژ ساختمان مبلغ ۵۰ هزار تومن پرید.,3
"هزینه ویزیت دکتر متخصص به مبلغ ۲۵۰,۰۰۰ تومان هزینه شد.",2
پرداخت هزینه تعمیرات منزل به مبلغ ۲ میلیون ریال پرداخت کردم.,3
خرید گل برای مراسم مبلغ ۱۰۰ هزار تومان برداشتم.,4
"سفارش پیتزا برای شام مبلغ ۲۵۰,۰۰۰ تومان پیاده شدم.",1
پول داروخانه برای مکمل مبلغ ۲ میلیون ریال برداشتم.,2
خرید هدیه تولد برای دوست مبلغ ۱۰ هزار تومن پیاده شدم.,4
خرید کیف چرمی به مبلغ ۳۰ هزار تومن هزینه شد.,5
پول بستنی مبلغ ۲ میلیون ریال دادم.,1
هزینه خدمات خشک‌شویی به مبلغ ۱۰۰ هزار تومان پرداخت شد.,4
خرید کیف چرمی مبلغ ۱۵۰٬۰۰۰ ریال دادم.,5
هزینه قبض برق و گاز به مبلغ ۳۰ هزار تومن پرداخت کردم.,3
پول پیش‌پرداخت وام مبلغ ۵ میلیون تومان خرجی کردم.,4
پول خدمات لوله‌کشی مبلغ ۵ میلیون تومان دادم.,3
"برای اشتراک ماهانه فیلیمو مبلغ X هزینه کردم مبلغ ۲۵۰,۰۰۰ تومان خرجی کردم.",0
خرید کیف چرمی مبلغ ۲۰ هزار تومان برداشتم.,5
بلیط مترو و اتوبوس مبلغ ۷۰۰ هزار تومان خرجی کردم.,6
پول بستنی مبلغ ۳۰ هزار تومن پرید.,1
خرید داروهای نسخه‌ای به مبلغ ۱۰۰ هزار تومان پرداخت شد.,2
هزینه خرید لباس جدید به مبلغ ۱۰۰ هزار تومان هزینه شد.,5
خرید کیف چرمی مبلغ ۱۰ هزار تومن خرجی کردم.,5
خرید لوازم تحریر مبلغ ۲ میلیون ریال خرجی کردم.,5
پرداخت هزینه تعمیرات منزل به مبلغ ۲۰ هزار تومان پرداخت شد.,3
هزینه قبض برق و گاز به مبلغ ۷۰۰ هزار تومان پرداخت شد.,3
برای اشتراک ماهانه فیلیمو مبلغ X هزینه کردم به مبلغ ۱۵۰٬۰۰۰ ریال پرداخت کردم.,0
کرایه تاکسی برای مسیر به مبلغ ۵ میلیون تومان پرداخت شد.,6
پرداخت اجاره‌بها ماهیانه مبلغ ۵ میلیون تومان دادم.,3
هزینه ویزیت دکتر متخصص مبلغ ۱۰۰ هزار تومان خرجی کردم.,2
هزینه کرایه اسنپ به مبلغ ۵۰ هزار تومن پرداخت شد.,6
پول پیش‌پرداخت وام مبلغ ۵ میلیون تومان برداشتم.,4
بلیط مترو و اتوبوس مبلغ ۱۵۰٬۰۰۰ ریال دادم.,6
بلیط مترو و اتوبوس مبلغ ۱۰۰ هزار تومان دادم.,6
خرید کفش از پاساژ به مبلغ ۱۰۰ هزار تومان پرداخت شد.,5
سفارش پیتزا برای شام به مبلغ ۷۰۰ هزار تومان پرداخت شد.,1
پرداخت هزینه تعمیرات منزل به مبلغ ۵۰ هزار تومن پرداخت شد.,3
پول کتاب‌های آموزشی به مبلغ ۱۰ هزار تومن هزینه شد.,5
هزینه کرایه اسنپ به مبلغ ۱۵۰٬۰۰۰ ریال پرداخت کردم.,6
پرداخت اجاره‌بها ماهیانه به مبلغ ۲۰ هزار تومان هزینه شد.,3
"پول پیش‌پرداخت وام به مبلغ ۲۵۰,۰۰۰ تومان اختصاص یافت.",4
پرداخت خیریه به مبلغ ۱۰۰ هزار تومان اختصاص یافت.,4
هزینه خرید لباس جدید مبلغ ۱۰ هزار تومن پرید.,5
پول بنزین ماشین مبلغ ۳۰ هزار تومن دادم.,6
برای اشتراک ماهانه فیلیمو مبلغ X هزینه کردم مبلغ ۲۰ هزار تومان پیاده شدم.,0
خرید لوازم تحریر به مبلغ ۵ میلیون تومان پرداخت شد.,5
خرید کیف چرمی به مبلغ ۲ میلیون ریال پرداخت کردم.,5
هزینه ویزیت دکتر متخصص مبلغ ۱۰۰ هزار تومان برداشتم.,2
خرید هدیه تولد برای دوست مبلغ ۷۰۰ هزار تومان برداشتم.,4
هزینه ویزیت دکتر متخصص به مبلغ ۲۰ هزار تومان پرداخت شد.,2
سفارش پیتزا برای شام به مبلغ ۷۰۰ هزار تومان پرداخت شد.,1
بلیط سینما برای فیلم جدید خریدم به مبلغ ۵ میلیون تومان هزینه شد.,0
پرداخت خیریه به مبلغ ۱۰ هزار تومن اختصاص یافت.,4
پول کتاب‌های آموزشی مبلغ ۳۰ هزار تومن پیاده شدم.,5
پرداخت هزینه آزمایش خون به مبلغ ۳۰ هزار تومن پرداخت کردم.,2
خرید گل برای مراسم مبلغ ۱۵۰٬۰۰۰ ریال پیاده شدم.,4
خرید ناهار از رستوران به مبلغ ۲ میلیون ریال هزینه شد.,1
هزینه ویزیت دکتر متخصص مبلغ ۲ میلیون ریال پیاده شدم.,2
هزینه خرید لباس جدید به مبلغ ۵۰ هزار تومن پرداخت شد.,5
خرید گل برای مراسم مبلغ ۱۰۰ هزار تومان پرید.,4
هزینه کرایه اسنپ مبلغ ۱۰ هزار تومن دادم.,6
هزینه خدمات خشک‌شویی به مبلغ ۱۵۰٬۰۰۰ ریال پرداخت کردم.,4
پول داروخانه برای مکمل مبلغ ۲ میلیون ریال دادم.,2
خرید لوازم تحریر به مبلغ ۷۰۰ هزار تومان پرداخت شد.,5
هزینه قبض برق و گاز مبلغ ۱۰۰ هزار تومان خرجی کردم.,3
"پول کتاب‌های آموزشی مبلغ ۲۵۰,۰۰۰ تومان پیاده شدم.",5
هزینه خدمات خشک‌شویی به مبلغ ۵ میلیون تومان اختصاص یافت.,4
هزینه ویزیت دکتر متخصص به مبلغ ۵۰ هزار تومن پرداخت شد.,2
پرداخت هزینه آزمایش خون به مبلغ ۱۰ هزار تومن اختصاص یافت.,2
پول بستنی مبلغ ۳۰ هزار تومن خرجی کردم.,1
پرداخت هزینه تعمیرات خودرو مبلغ ۱۵۰٬۰۰۰ ریال برداشتم.,6
پرداخت هزینه آزمایش خون مبلغ ۲ میلیون ریال برداشتم.,2
بلیط سینما برای فیلم جدید خریدم مبلغ ۵ میلیون تومان خرجی کردم.,0
خرید هدیه تولد برای دوست مبلغ ۱۰۰ هزار تومان خرجی کردم.,4
خرید داروهای نسخه‌ای مبلغ ۱۰ هزار تومن پرید.,2
هزینه بازی‌های ویدیویی مبلغ ۵ میلیون تومان پیاده شدم.,0
"پرداخت خیریه مبلغ ۲۵۰,۰۰۰ تومان برداشتم.",4
میوه و سبزیجات تازه خریدم مبلغ ۲ میلیون ریال برداشتم.,1
خرید کفش از پاساژ به مبلغ ۱۵۰٬۰۰۰ ریال اختصاص یافت.,5
خرید گل برای مراسم مبلغ ۳۰ هزار تومن دادم.,4
مبلغ ویزیت دندانپزشکی به مبلغ ۵ میلیون تومان پرداخت شد.,2
خرید لوازم تحریر مبلغ ۱۵۰٬۰۰۰ ریال پرید.,5
پرداخت اجاره‌بها ماهیانه به مبلغ ۲ میلیون ریال اختصاص یافت.,3
"هزینه کرایه اسنپ مبلغ ۲۵۰,۰۰۰ تومان برداشتم.",6
هزینه قبض برق و گاز مبلغ ۷۰۰ هزار تومان پرید.,3
خرید کفش از پاساژ مبلغ ۵۰ هزار تومن پیاده شدم.,5
مبلغ شارژ ساختمان به مبلغ ۳۰ هزار تومن اختصاص یافت.,3
پول بنزین ماشین به مبلغ ۵۰ هزار تومن پرداخت کردم.,6
خرید ناهار از رستوران مبلغ ۱۰۰ هزار تومان برداشتم.,1
"پول بستنی به مبلغ ۲۵۰,۰۰۰ تومان پرداخت شد.",1
سفارش پیتزا برای شام به مبلغ ۷۰۰ هزار تومان اختصاص یافت.,1
هزینه مواد غذایی هفتگی به مبلغ ۳۰ هزار تومن هزینه شد.,1
"خرید گل برای مراسم مبلغ ۲۵۰,۰۰۰ تومان پیاده شدم.",4
سفارش پیتزا برای شام به مبلغ ۳۰ هزار تومن پرداخت شد.,1
پول پیش‌پرداخت وام مبلغ ۵۰ هزار تومن پرید.,4
هزینه بازی‌های ویدیویی به مبلغ ۱۰۰ هزار تومان پرداخت کردم.,0
"پرداخت خیریه مبلغ ۲۵۰,۰۰۰ تومان پیاده شدم.",4
خرید ناهار از رستوران به مبلغ ۱۵۰٬۰۰۰ ریال هزینه شد.,1
پرداخت هزینه آزمایش خون به مبلغ ۳۰ هزار تومن اختصاص یافت.,2
پول بستنی به مبلغ ۱۰ هزار تومن اختصاص یافت.,1
"میوه و سبزیجات تازه خریدم به مبلغ ۲۵۰,۰۰۰ تومان پرداخت کردم.",1
کرایه تاکسی برای مسیر مبلغ ۱۰۰ هزار تومان برداشتم.,6
هزینه قبض برق و گاز مبلغ ۳۰ هزار تومن پرید.,3
پول کتاب‌های آموزشی به مبلغ ۲۰ هزار تومان هزینه شد.,5
"بلیط مترو و اتوبوس به مبلغ ۲۵۰,۰۰۰ تومان اختصاص یافت.",6
هزینه قبض برق و گاز به مبلغ ۱۰ هزار تومن پرداخت کردم.,3
خرید هدیه تولد برای دوست به مبلغ ۲ میلیون ریال پرداخت کردم.,4
خرید داروهای نسخه‌ای مبلغ ۳۰ هزار تومن پرید.,2
پول داروخانه برای مکمل به مبلغ ۱۰۰ هزار تومان هزینه شد.,2
مبلغ شارژ ساختمان به مبلغ ۵۰ هزار تومن اختصاص یافت.,3
پول خدمات لوله‌کشی مبلغ ۱۵۰٬۰۰۰ ریال پیاده شدم.,3
پرداخت اجاره‌بها ماهیانه به مبلغ ۵ میلیون تومان پرداخت کردم.,3
خرید گل برای مراسم مبلغ ۲ میلیون ریال پرید.,4
سفارش پیتزا برای شام مبلغ ۳۰ هزار تومن برداشتم.,1
هزینه خدمات خشک‌شویی به مبلغ ۲ میلیون ریال پرداخت کردم.,4
هزینه خرید لباس جدید مبلغ ۵۰ هزار تومن دادم.,5
کرایه تاکسی برای مسیر به مبلغ ۵ میلیون تومان پرداخت شد.,6
پول بلیط کنسرت موسیقی مبلغ ۲۰ هزار تومان پرید.,0
پول بستنی به مبلغ ۵ میلیون تومان پرداخت شد.,1
"بلیط سینما برای فیلم جدید خریدم مبلغ ۲۵۰,۰۰۰ تومان دادم.",0
پول بلیط کنسرت موسیقی مبلغ ۲۰ هزار تومان پیاده شدم.,0
پرداخت هزینه تعمیرات خودرو مبلغ ۳۰ هزار تومن پرید.,6
بلیط مترو و اتوبوس مبلغ ۳۰ هزار تومن دادم.,6
سفارش پیتزا برای شام به مبلغ ۱۵۰٬۰۰۰ ریال هزینه شد.,1
پول پیش‌پرداخت وام به مبلغ ۳۰ هزار تومن پرداخت شد.,4
خرید هدیه تولد برای دوست به مبلغ ۷۰۰ هزار تومان هزینه شد.,4
سفارش پیتزا برای شام مبلغ ۷۰۰ هزار تومان پیاده شدم.,1
مبلغ شارژ ساختمان به مبلغ ۲ میلیون ریال پرداخت کردم.,3
هزینه ویزیت دکتر متخصص مبلغ ۵ میلیون تومان خرجی کردم.,2
پرداخت اجاره‌بها ماهیانه به مبلغ ۱۰ هزار تومن پرداخت کردم.,3
"هزینه بازی‌های ویدیویی به مبلغ ۲۵۰,۰۰۰ تومان پرداخت شد.",0
پرداخت اجاره‌بها ماهیانه مبلغ ۱۰۰ هزار تومان برداشتم.,3
مبلغ شارژ ساختمان مبلغ ۲۰ هزار تومان خرجی کردم.,3
پول کتاب‌های آموزشی به مبلغ ۱۰۰ هزار تومان هزینه شد.,5
خرید ناهار از رستوران به مبلغ ۲۰ هزار تومان پرداخت شد.,1
هزینه مواد غذایی هفتگی به مبلغ ۵ میلیون تومان پرداخت شد.,1
پرداخت اجاره‌بها ماهیانه به مبلغ ۲۰ هزار تومان پرداخت کردم.,3
خرید داروهای نسخه‌ای مبلغ ۷۰۰ هزار تومان دادم.,2
برای اشتراک ماهانه فیلیمو مبلغ X هزینه کردم به مبلغ ۵ میلیون تومان هزینه شد.,0
بلیط سینما برای فیلم جدید خریدم به مبلغ ۳۰ هزار تومن پرداخت کردم.,0
مبلغ شارژ ساختمان مبلغ ۱۵۰٬۰۰۰ ریال برداشتم.,3
هزینه بازی‌های ویدیویی مبلغ ۲۰ هزار تومان دادم.,0
پول پیش‌پرداخت وام مبلغ ۲۰ هزار تومان پرید.,4
"هزینه مواد غذایی هفتگی به مبلغ ۲۵۰,۰۰۰ تومان هزینه شد.",1
بلیط سینما برای فیلم جدید خریدم به مبلغ ۱۵۰٬۰۰۰ ریال اختصاص یافت.,0
خرید داروهای نسخه‌ای مبلغ ۷۰۰ هزار تومان خرجی کردم.,2
پرداخت خیریه به مبلغ ۲۰ هزار تومان پرداخت شد.,4
سفارش پیتزا برای شام مبلغ ۵۰ هزار تومن برداشتم.,1
پرداخت هزینه تعمیرات منزل به مبلغ ۱۰ هزار تومن پرداخت کردم.,3
هزینه کرایه اسنپ به مبلغ ۲ میلیون ریال پرداخت شد.,6
پرداخت هزینه تعمیرات منزل مبلغ ۷۰۰ هزار تومان خرجی کردم.,3
خرید کفش از پاساژ به مبلغ ۱۵۰٬۰۰۰ ریال هزینه شد.,5
پول بلیط کنسرت موسیقی مبلغ ۵ میلیون تومان خرجی کردم.,0
پرداخت اجاره‌بها ماهیانه مبلغ ۷۰۰ هزار تومان پرید.,3
سفارش پیتزا برای شام به مبلغ ۲۰ هزار تومان هزینه شد.,1
پرداخت خیریه مبلغ ۱۰۰ هزار تومان پیاده شدم.,4
پول داروخانه برای مکمل مبلغ ۳۰ هزار تومن پیاده شدم.,2
مبلغ ویزیت دندانپزشکی به مبلغ ۵۰ هزار تومن هزینه شد.,2
کرایه تاکسی برای مسیر مبلغ ۲ میلیون ریال دادم.,6
خرید کفش از پاساژ به مبلغ ۷۰۰ هزار تومان هزینه شد.,5
هزینه خدمات خشک‌شویی مبلغ ۱۰ هزار تومن پرید.,4
میوه و سبزیجات تازه خریدم به مبلغ ۳۰ هزار تومن پرداخت کردم.,1
"پرداخت اجاره‌بها ماهیانه به مبلغ ۲۵۰,۰۰۰ تومان اختصاص یافت.",3
خرید ناهار از رستوران به مبلغ ۱۰ هزار تومن پرداخت کردم.,1
برای اشتراک ماهانه فیلیمو مبلغ X هزینه کردم مبلغ ۲۰ هزار تومان برداشتم.,0
پرداخت هزینه آزمایش خون مبلغ ۷۰۰ هزار تومان دادم.,2
خرید کفش از پاساژ مبلغ ۲۰ هزار تومان پرید.,5
پول پیش‌پرداخت وام مبلغ ۱۵۰٬۰۰۰ ریال پیاده شدم.,4
هزینه مواد غذایی هفتگی مبلغ ۵۰ هزار تومن خرجی کردم.,1
هزینه قبض برق و گاز به مبلغ ۲ میلیون ریال اختصاص یافت.,3
پول کتاب‌های آموزشی مبلغ ۵ میلیون تومان برداشتم.,5
پول بستنی مبلغ ۵ میلیون تومان پیاده شدم.,1
هزینه خرید لباس جدید به مبلغ ۱۵۰٬۰۰۰ ریال اختصاص یافت.,5
پول پیش‌پرداخت وام مبلغ ۷۰۰ هزار تومان پیاده شدم.,4
خرید گل برای مراسم به مبلغ ۳۰ هزار تومن اختصاص یافت.,4
پول داروخانه برای مکمل به مبلغ ۲ میلیون ریال هزینه شد.,2
هزینه خدمات خشک‌شویی مبلغ ۱۵۰٬۰۰۰ ریال برداشتم.,4
پرداخت هزینه تعمیرات منزل به مبلغ ۲ میلیون ریال پرداخت کردم.,3
هزینه قبض برق و گاز به مبلغ ۵۰ هزار تومن پرداخت شد.,3
میوه و سبزیجات تازه خریدم مبلغ ۳۰ هزار تومن خرجی کردم.,1
پول کتاب‌های آموزشی به مبلغ ۲ میلیون ریال اختصاص یافت.,5
هزینه قبض برق و گاز مبلغ ۱۵۰٬۰۰۰ ریال خرجی کردم.,3
کرایه تاکسی برای مسیر مبلغ ۲ میلیون ریال دادم.,6
خرید کیف چرمی به مبلغ ۳۰ هزار تومن هزینه شد.,5
هزینه ویزیت دکتر متخصص مبلغ ۱۰۰ هزار تومان برداشتم.,2
مبلغ ویزیت دندانپزشکی مبلغ ۳۰ هزار تومن برداشتم.,2
میوه و سبزیجات تازه خریدم مبلغ ۲ میلیون ریال دادم.,1
خرید لوازم تحریر مبلغ ۷۰۰ هزار تومان برداشتم.,5
پرداخت هزینه آزمایش خون مبلغ ۱۵۰٬۰۰۰ ریال پیاده شدم.,2
مبلغ شارژ ساختمان مبلغ ۵ میلیون تومان خرجی کردم.,3
پول خدمات لوله‌کشی مبلغ ۱۰ هزار تومن دادم.,3
سفارش پیتزا برای شام مبلغ ۱۰ هزار تومن پرید.,1
خرید هدیه تولد برای دوست به مبلغ ۷۰۰ هزار تومان پرداخت شد.,4
خرید کفش از پاساژ به مبلغ ۵۰ هزار تومن اختصاص یافت.,5
هزینه قبض برق و گاز به مبلغ ۱۰ هزار تومن پرداخت کردم.,3
پرداخت اجاره‌بها ماهیانه مبلغ ۱۰۰ هزار تومان برداشتم.,3
هزینه بازی‌های ویدیویی مبلغ ۷۰۰ هزار تومان خرجی کردم.,0
خرید ناهار از رستوران به مبلغ ۵ میلیون تومان هزینه شد.,1
پرداخت اجاره‌بها ماهیانه مبلغ ۵ میلیون تومان پیاده شدم.,3
پول داروخانه برای مکمل به مبلغ ۱۰ هزار تومن اختصاص یافت.,2
خرید ناهار از رستوران به مبلغ ۵ میلیون تومان پرداخت کردم.,1
هزینه قبض برق و گاز به مبلغ ۵ میلیون تومان هزینه شد.,3
بلیط سینما برای فیلم جدید خریدم به مبلغ ۵۰ هزار تومن پرداخت شد.,0
پول پیش‌پرداخت وام مبلغ ۲۰ هزار تومان پیاده شدم.,4
هزینه بازی‌های ویدیویی مبلغ ۲ میلیون ریال دادم.,0
پرداخت اجاره‌بها ماهیانه به مبلغ ۲۰ هزار تومان پرداخت شد.,3
خرید گل برای مراسم به مبلغ ۲۰ هزار تومان هزینه شد.,4
بلیط سینما برای فیلم جدید خریدم مبلغ ۱۰ هزار تومن پرید.,0
هزینه بازی‌های ویدیویی به مبلغ ۷۰۰ هزار تومان اختصاص یافت.,0
سفارش پیتزا برای شام مبلغ ۵۰ هزار تومن دادم.,1
هزینه مواد غذایی هفتگی مبلغ ۵۰ هزار تومن پرید.,1
پول داروخانه برای مکمل به مبلغ ۵ میلیون تومان اختصاص یافت.,2
بلیط مترو و اتوبوس مبلغ ۱۰۰ هزار تومان دادم.,6
هزینه مواد غذایی هفتگی مبلغ ۷۰۰ هزار تومان خرجی کردم.,1
پرداخت هزینه آزمایش خون به مبلغ ۵۰ هزار تومن اختصاص یافت.,2
پرداخت اجاره‌بها ماهیانه به مبلغ ۷۰۰ هزار تومان پرداخت کردم.,3
هزینه خدمات خشک‌شویی به مبلغ ۷۰۰ هزار تومان هزینه شد.,4
